,Unnamed: 0,text,spellchecked_text,normalized_text,contains_ref,label,token,sentence,ref_type
0,0,"    Amidst the bustling bazaar, a cacophony of voices negotiated prices; the sharp clang of a blacksmith's hammer provided an impromptu percussion.",Amidst the bustling bazaar a cacophony of voices negotiated prices the sharp clang of a blacksmith's hammer provided an impromptu percussion,bustle bazaar cacophony voice negotiate price sharp clang hammer provide impromptu percussion,True,"[{'start': 15, 'end': 23, 'text': 'bustling', 'labels': ['SOUND']}, {'start': 24, 'end': 30, 'text': 'bazaar', 'labels': ['SOUND']}, {'start': 34, 'end': 43, 'text': 'cacophony', 'labels': ['SOUND']}, {'start': 77, 'end': 82, 'text': 'sharp', 'labels': ['SOUND']}, {'start': 83, 'end': 88, 'text': 'clang', 'labels': ['SOUND']}, {'start': 94, 'end': 104, 'text': 'blacksmith', 'labels': ['SOUND']}, {'start': 107, 'end': 113, 'text': 'hammer', 'labels': ['SOUND']}, {'start': 126, 'end': 135, 'text': 'impromptu', 'labels': ['SOUND']}, {'start': 136, 'end': 146, 'text': 'percussion', 'labels': ['SOUND']}]",bustling bazaar cacophony sharp clang blacksmith hammer impromptu percussion,"    Amidst the bustling bazaar, a cacophony of voices negotiated prices; the sharp clang of a blacksmith's hammer provided an impromptu percussion.",Olfactive
1,1,"    When the city sleeps, an urban symphony emerges: the distant sirens sing melancholy arias and the wind plays gentle flutes through the trees.",When the city sleeps an urban symphony emerges the distant sirens sing melancholy arias and the wind plays gentle flutes through the trees,city sleep urban symphony emerge distant siren sing melancholy wind play gentle flute tree,True,"[{'start': 29, 'end': 34, 'text': 'urban', 'labels': ['SOUND']}, {'start': 35, 'end': 43, 'text': 'symphony', 'labels': ['SOUND']}, {'start': 57, 'end': 71, 'text': 'distant sirens', 'labels': ['SOUND']}, {'start': 72, 'end': 77, 'text': 'sing ', 'labels': ['SOUND']}, {'start': 102, 'end': 126, 'text': 'wind plays gentle flutes', 'labels': ['SOUND']}]",urban symphony distant sirens sing  wind plays gentle flutes,"    When the city sleeps, an urban symphony emerges: the distant sirens sing melancholy arias and the wind plays gentle flutes through the trees.",Olfactive
2,2,"    On the mountaintop, the wind's primal howl, funneling through rock crevices, becomes an ancient lament that even eagles pause to acknowledge.",On the mountaintop the wind's primal howl funneling through rock crevices becomes an ancient lament that even eagles pause to acknowledge,mountaintop wind primal howl funnel rock crevice ancient lament eagle pause acknowledge,True,"[{'start': 28, 'end': 46, 'text': ""wind's primal howl"", 'labels': ['SOUND']}]",wind's primal howl,"    On the mountaintop, the wind's primal howl, funneling through rock crevices, becomes an ancient lament that even eagles pause to acknowledge.",Olfactive
3,3,"    From my bedroom window, I can hear the orchestra of early morning: sparrows tweeting their daybreak anthem, accompanied by the muffled hum of cars.",From my bedroom window I can hear the orchestra of early morning sparrows tweeting their daybreak anthem accompanied by the muffled hum of cars,bedroom window hear orchestra early morning sparrow tweet daybreak anthem accompany muffled hum car,True,"[{'start': 34, 'end': 52, 'text': 'hear the orchestra', 'labels': ['SOUND']}, {'start': 56, 'end': 69, 'text': 'early morning', 'labels': ['SOUND']}, {'start': 70, 'end': 89, 'text': ' sparrows tweeting ', 'labels': ['SOUND']}, {'start': 131, 'end': 143, 'text': 'muffled hum ', 'labels': ['SOUND']}, {'start': 146, 'end': 151, 'text': 'cars.', 'labels': ['SOUND']}]",hear the orchestra early morning  sparrows tweeting  muffled hum  cars.,"    From my bedroom window, I can hear the orchestra of early morning: sparrows tweeting their daybreak anthem, accompanied by the muffled hum of cars.",Olfactive
4,4,"    In the quaint coffee shop, the melodic chime of the entrance bell is a prologue to the murmur of customers and grinding of espresso beans.",In the quaint coffee shop the melodic chime of the entrance bell is a prologue to the murmur of customers and grinding of espresso beans,quaint coffee shop melodic chime entrance bell prologue murmur customer grinding espresso bean,True,"[{'start': 35, 'end': 49, 'text': 'melodic chime ', 'labels': ['SOUND']}, {'start': 56, 'end': 70, 'text': 'entrance bell ', 'labels': ['SOUND']}, {'start': 91, 'end': 98, 'text': 'murmur ', 'labels': ['SOUND']}, {'start': 101, 'end': 110, 'text': 'customers', 'labels': ['SOUND']}, {'start': 115, 'end': 124, 'text': 'grinding ', 'labels': ['SOUND']}, {'start': 127, 'end': 141, 'text': 'espresso beans', 'labels': ['SOUND']}]",melodic chime  entrance bell  murmur  customers grinding  espresso beans,"    In the quaint coffee shop, the melodic chime of the entrance bell is a prologue to the murmur of customers and grinding of espresso beans.",Olfactive
5,5,"    Every evening, as the sun dips below the horizon, the forest comes alive with a twilight chorus of crickets and nocturnal creatures.",Every evening as the sun dips below the horizon the forest comes alive with a twilight chorus of crickets and nocturnal creatures,evening sun dip horizon forest come alive twilight chorus cricket nocturnal creature,True,"[{'start': 93, 'end': 100, 'text': 'chorus ', 'labels': ['SOUND']}, {'start': 103, 'end': 111, 'text': 'crickets', 'labels': ['SOUND']}, {'start': 116, 'end': 135, 'text': 'nocturnal creatures', 'labels': ['SOUND']}]",chorus  crickets nocturnal creatures,"    Every evening, as the sun dips below the horizon, the forest comes alive with a twilight chorus of crickets and nocturnal creatures.",Olfactive
6,6,"    The subtle scratching of pencil against paper in the examination hall was almost a whispered conversation, laden with tension, among anxious students.",The subtle scratching of pencil against paper in the examination hall was almost a whispered conversation laden with tension among anxious students,subtle scratching pencil paper examination hall whisper conversation laden tension anxious student,True,"[{'start': 15, 'end': 25, 'text': 'scratching', 'labels': ['SOUND']}, {'start': 29, 'end': 35, 'text': 'pencil', 'labels': ['SOUND']}, {'start': 87, 'end': 109, 'text': 'whispered conversation', 'labels': ['SOUND']}]",scratching pencil whispered conversation,"    The subtle scratching of pencil against paper in the examination hall was almost a whispered conversation, laden with tension, among anxious students.",Olfactive
7,7,"    Sudden laughter exploded from the living room, overpowering the drama of raindrops pelting against windows—a family movie night in full swing.",Sudden laughter exploded from the living room overpowering the drama of raindrops pelting against windows family movie night in full swing,sudden laughter explode living room overpower drama raindrop pelt family movie night swing,True,"[{'start': 4, 'end': 19, 'text': 'Sudden laughter', 'labels': ['SOUND']}, {'start': 77, 'end': 110, 'text': 'raindrops pelting against windows', 'labels': ['SOUND']}]",Sudden laughter raindrops pelting against windows,"    Sudden laughter exploded from the living room, overpowering the drama of raindrops pelting against windows—a family movie night in full swing.",Olfactive
8,8,"    Across the farmlands, the lowing of cows, like some ancient hymn, blended seamlessly with the rustle of wind through fields of corn.",Across the farmlands the lowing of cows like some ancient hymn blended seamlessly with the rustle of wind through fields of corn,farmland lowing cow ancient hymn blend seamlessly rustle wind field corn,True,"[{'start': 30, 'end': 44, 'text': 'lowing of cows', 'labels': ['SOUND']}, {'start': 56, 'end': 69, 'text': 'ancient hymn,', 'labels': ['SOUND']}, {'start': 98, 'end': 105, 'text': 'rustle ', 'labels': ['SOUND']}, {'start': 108, 'end': 113, 'text': 'wind ', 'labels': ['SOUND']}]","lowing of cows ancient hymn, rustle  wind ","    Across the farmlands, the lowing of cows, like some ancient hymn, blended seamlessly with the rustle of wind through fields of corn.",Olfactive
9,9,"    As the clock strikes midnight, each toll echoes through the silent house, counting the seconds that separate yesterday from today.",As the clock strikes midnight each toll echoes through the silent house counting the seconds that separate yesterday from today,clock strike midnight toll echo silent house count second separate yesterday today,True,"[{'start': 11, 'end': 25, 'text': 'clock strikes ', 'labels': ['SOUND']}, {'start': 40, 'end': 51, 'text': 'toll echoes', 'labels': ['SOUND']}, {'start': 64, 'end': 76, 'text': 'silent house', 'labels': ['SOUND']}]",clock strikes  toll echoes silent house,"    As the clock strikes midnight, each toll echoes through the silent house, counting the seconds that separate yesterday from today.",Olfactive
