,filename,sentence_id,text,labels,contains_ref,spellchecked_text,normalized_text
0,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,1,"enormous tropical forests , little known to man , and from which he gathers here and there the treasures for our orchid - and greenhouses ; great island conservatories like Java and Ceylon and Borneo , rich in spices and lovely plant life : Australian Bush , with traces of plant life as if from another world , but often most delicate in odour even in the fragments of them we see in our greenhouses .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-1 I-1 O O O O O O O O O O O O O O B-1 I-1 O B-1 O O O O O O O O O O O O,True,"enormous tropical forests , little known to man , and from which he gathers here and there the treasures for our orchid - and greenhouses ; great island observatories like Java and cylon and borne , rich in spices and lovely plant life : Australian Bush , with traces of plant life as if from another world , but often most delicate in odour even in the fragments of them we see in our greenhouses .",enormous tropical forest little know man gather treasure orchid greenhouse great island observatory java cylon bear rich spice lovely plant life australian trace plant life world delicate odour fragment greenhouse
1,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,10,"It is not only these trees and climbers , loved by all for their odour , we have to think of , but many delicate ones , 1 ‘ What you call advantageous , Solon , is for these men to be crowned in view of all the world , who just before were objects of pity from their wounds : and yet it seems they think themselves happy if in return for all their labours they can get a bunch of Laurel . ’ — From the Greek of Lucian . little thought of , perhaps , from the blossoms that give it being without showy colour , as the fragrant American wild Vine .",O O O O B-1 I-1 I-1 I-1 O O O O O B-1 I-1 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-1 I-1 I-1 I-1 O,True,"It is not only these trees and climbers , loved by all for their odour , we have to think of , but many delicate ones , 1 i What you call advantageous , soon , is for these men to be crowned in view of all the world , who just before were objects of pity from their wounds : and yet it seems they think themselves happy if in return for all their labours they can get a bunch of Laurel . i i From the Greek of Lucian . little thought of , perhaps , from the blossoms that give it being without showy colour , as the fragrant American wild Vine .",tree climber love odour think delicate one advantageous soon man crown view world object pity wound think happy return labour bunch laurel greek little blossom showy colour fragrant american wild vine
2,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,11,"And among these modest flowers there are none more delicate than the blossoms of the White Willow of Britain and northern Europe , all the more grateful in air coming to us . ‘ O ’ er the northern moorland , o ’ er the northern foam . ’ What is the lesson these sweet flowers have for us 1 They tell us — if there were no other flowers to tell us — that a garden should be a living thing ; its life not only fair in form and lovely in colour , but in its breath and essence coming from the Divine .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,False,"And among these modest flowers there are none more delicate than the blossoms of the White Willow of Britain and northern Europe , all the more grateful in air coming to us . i O i er the northern moorland , o i er the northern foam . i What is the lesson these sweet flowers have for us 1 They tell us i if there were no other flowers to tell us i that a garden should be a living thing ; its life not only fair in form and lovely in colour , but in its breath and essence coming from the Divine .",modest flower delicate blossom white willow grateful air come northern moorland northern foam lesson sweet flower tell flower tell garden live thing life fair form lovely colour breath essence come divine
3,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,12,"They tell us that the very common attempt to conform these fair lives into tile or other patterns , to clip or set them out as so much mere colour of the paper-stainer or carpet-maker , is to degrade them , and make our gardens ugly and ridiculous , from the point of view of nature or true art .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,False,"They tell us that the very common attempt to conform these fair lives into tile or other patterns , to clip or set them out as so much mere colour of the paper-stainer or carpet-maker , is to degrade them , and make our gardens ugly and ridiculous , from the point of view of nature or true art .",tell common attempt conform fair life tile pattern clip set mere colour paper stainer carpet maker degrade garden ugly ridiculous point view nature true art
4,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,13,And many of these treasures for the open garden have been shut out of our thoughts owing to exclusion of almost everything that did not make showy colour and lend itself to carpet or other crude modes of setting flowers to compete with tiles and like modes of ‘ decoration . ’,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,False,And many of these treasures for the open garden have been shut out of our thoughts owing to exclusion of almost everything that did not make showy colour and lend itself to carpet or other crude modes of setting flowers to compete with tiles and like modes of i decoration . i,treasure open garden shut thought owe exclusion showy colour lend carpet crude mode set flower compete tile mode decoration
5,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,14,"Of the many considerations that should occur in the making of a beautiful garden to live in , this of fragrant plants and flowers is one of the first .",O O O O O O O O O O O O O O O O O O O O B-1 I-1 O B-1 O O O O O O,True,"Of the many considerations that should occur in the making of a beautiful garden to live in , this of fragrant plants and flowers is one of the first .",consideration occur making beautiful garden live fragrant plant flower
6,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,15,"And happily among every class of flowers which adorn our open-air gardens , there are odorous things to be found .",O O O O O O O O O B-1 I-1 I-1 O O O B-1 I-1 O O O O,True,"And happily among every class of flowers which adorn our open-air gardens , there are odorous things to be found .",happily class flower adorn open air garden odorous thing find
7,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,16,"Apart from the groups of plants in which all , or nearly all , are sweet , as in Roses and Violets , the annual and biennial flowers of our gardens , are rich in fragrance , Stocks , Mignonette , Sweet Peas , Sweet Sultan and Wallflowers , Double Rockets , Sweet Scabious , and many others , the odours of which are not always so popular .",O O O O O O O O O O O O O O O B-1 O O O B-1 O B-1 O B-1 I-1 I-1 I-1 I-1 I-1 I-1 I-1 O O B-1 O B-1 O B-1 O B-1 O B-1 I-1 O B-1 I-1 O B-1 O B-1 I-1 O B-1 I-1 O O O O O O B-1 O B-1 O B-1 I-1 I-1 I-1 O,True,"Apart from the groups of plants in which all , or nearly all , are sweet , as in Roses and Violets , the annual and biannual flowers of our gardens , are rich in fragrance , Stocks , Mignonette , Sweet Peas , Sweet Sultan and Wallflowers , Double Rockets , Sweet scabrous , and many others , the odours of which are not always so popular .",apart group plant nearly sweet rose violet annual biannual flower garden rich fragrance stock sweet pea sweet sultan wallflower double rocket sweet scabrous odour popular
8,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,17,"These , among the most easily raised of plants , are enjoyed by the simplest cottage gardeners .",O O O O O O O O O O O O O O O O O O,False,"These , among the most easily raised of plants , are enjoyed by the simplest cottage gardeners .",easily raise plant enjoy simple cottage gardener
9,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,18,The garden borders bear for us odours as precious as any breath of tropic Orchid : from the Lily of the Valley to the Carnation — this last being perhaps the most grateful odour of all the flowering host in our garden land .,B-1 I-1 I-1 O O B-1 I-1 O B-1 I-1 I-1 I-1 I-1 I-1 I-1 O O O O O O O O B-1 I-1 O O O O O B-1 I-1 I-1 I-1 O O O O O B-1 I-1 I-1 I-1 O,True,The garden borders bear for us odours as precious as any breath of tropic Orchid : from the Lily of the Valley to the Carnation i this last being perhaps the most grateful odour of all the flowering host in our garden land .,garden border bear odour precious breath tropic orchid lily valley carnation grateful odour flower host garden land
