,Unnamed: 0,text,spellchecked_text,normalized_text,contains_ref,label
0,0,"    Having a green thumb, he transformed his backyard into a paradise.",Having a green thumb he transformed his backyard into a paradise,have green thumb transform backyard paradise,False,
1,1,"    On the grand stage of the theatrical production, each actor contributed to the collective magic of storytelling.",On the grand stage of the theatrical production each actor contributed to the collective magic of storytelling,grand stage theatrical production actor contribute collective magic storytelle,False,
2,2,"    As darkness fell, the cityscape transformed, with illuminated buildings creating a dazzling panorama.",As darkness fell the cityscape transformed with illuminated buildings creating a dazzling panorama,darkness fall cityscape transform illuminated building create dazzling panorama,False,
3,3,"    Through the myriad trails of the dense forest, explorers discovered hidden waterfalls and panoramic viewpoints.",Through the myriad trails of the dense forest explorers discovered hidden waterfalls and panoramic viewpoints,myriad trail dense forest explorer discover hidden waterfall panoramic viewpoint,False,
4,4,"    At the fashion show, avant-garde designs stole the spotlight.",At the fashion show avant-garde designs stole the spotlight,fashion avant garde design steal spotlight,False,
5,5,"    Among the selections on the dessert menu, each dish was a culinary masterpiece of flavors and textures.",Among the selections on the dessert menu each dish was a culinary masterpiece of flavors and textures,selection dessert menu dish culinary masterpiece flavor texture,False,
6,6,    Migrating birds signified the approaching change of seasons.,Migrating birds signified the approaching change of seasons,migrate bird signify approach change season,False,
7,7,"    Every weekend, he enjoyed hiking through the scenic mountain trails.",Every weekend he enjoyed hiking through the scenic mountain trails,weekend enjoy hike scenic mountain trail,False,
8,8,    His dedication to environmental causes was truly inspiring.,His dedication to environmental causes was truly inspiring,dedication environmental cause truly inspire,False,
9,9,    A parade of costumes showcased cultural diversity.,A parade of costumes showcased cultural diversity,parade costume showcase cultural diversity,False,
10,10,"    Through the various branches of the family tree, genealogists traced lineages back to distant ancestors.",Through the various branches of the family tree genealogists traced lineages back to distant ancestors,branch family tree genealogist trace lineage distant ancestor,False,
11,11,"    During their vacation, they explored several historical landmarks.",During their vacation they explored several historical landmarks,vacation explore historical landmark,False,
12,12,    The snow-capped mountains offered a stunning backdrop for photos.,The snowcapped mountains offered a stunning backdrop for photos,snowcapped mountain offer stunning backdrop photo,False,
13,13,"    Throughout the opera, vocal performances and orchestral accompaniments blended into a harmonious auditory tapestry.",Throughout the opera vocal performances and orchestral accompaniment blended into a harmonious auditory tapestry,opera vocal performance orchestral accompaniment blend harmonious auditory tapestry,False,
14,14,"    In the well-curated museum, a diverse collection of historical artifacts told tales of civilizations long past and their legacies.",In the well-curated museum a diverse collection of historical artifacts told tales of civilizations long past and their legacies,curate museum diverse collection historical artifact tell tale civilization long past legacy,False,
15,15,"    Among the line-up of the film festival, international entries showcased the diversity of cinematic expression.",Among the lineup of the film festival international entries showcased the diversity of cinematic expression,lineup film festival international entry showcase diversity cinematic expression,False,
16,16,"    Within the bustling port, shipping containers filled with goods symbolized the interconnectedness of global trade.",Within the bustling port shipping containers filled with goods symbolized the interconnectedness of global trade,bustle port shipping container fill good symbolize interconnectedness global trade,False,
17,17,"    Under the moonlight, the ocean shimmered like a vast expanse.",Under the moonlight the ocean shimmered like a vast expanse,moonlight ocean shimmer vast expanse,False,
18,18,    A collage of memories decorated their living room wall.,A collage of memories decorated their living room wall,collage memory decorate living room wall,False,
19,19,"    Over the span of the bridge, decorative lights illuminated the structure, making it a landmark even at night.",Over the span of the bridge decorative lights illuminated the structure making it a landmark even at night,span bridge decorative light illuminate structure make landmark night,False,
20,20,    He wowed the audience with dazzling magic tricks.,He wowed the audience with dazzling magic tricks,wow audience dazzling magic trick,False,
21,21,"    Among the greenery, ornamental statues and carefully pruned bushes added artistic flair to the garden.",Among the greenery ornamental statues and carefully pruned bushes added artistic flair to the garden,greenery ornamental statue carefully prune bush add artistic flair garden,False,
22,22,    A sandcastle competition showcased incredible artistic skills.,A sandcastle competition showcased incredible artistic skills,sandcastle competition showcase incredible artistic skill,False,
23,23,    They wandered through an enchanting forest filled with wildlife.,They wandered through an enchanting forest filled with wildlife,wander enchanting forest fill wildlife,False,
24,24,"    A string of colorful banners adorned the main thoroughfare, announcing the arrival of the annual fair.",A string of colorful banners adorned the main thoroughfare announcing the arrival of the annual fair,string colorful banner adorn main thoroughfare announce arrival annual fair,False,
25,25,"    At the summit, breathtaking views made the arduous climb worthwhile.",At the summit breathtaking views made the arduous climb worthwhile,summit breathtaking view arduous climb worthwhile,False,
26,26,    He explored a mysterious cave filled with hidden treasures.,He explored a mysterious cave filled with hidden treasures,explore mysterious cave fill hidden treasure,False,
27,27,    Impeccable timing helped her win the close-fought tennis match.,Impeccable timing helped her win the close-fought tennis match,impeccable timing help win close fight tennis match,False,
28,28,"    Bright stars twinkled in the night sky, enchanting all who looked.",Bright stars twinkled in the night sky enchanting all who looked,bright star twinkle night sky enchant look,False,
