,index,filename,sentence_id,sentence,token,ref_type,original_ref_type,len
0,0,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,1,"enormous tropical forests , little known to man , and from which he gathers here and there the treasures for our orchid - and greenhouses ; great island conservatories like Java and Ceylon and Borneo , rich in spices and lovely plant life : Australian Bush , with traces of plant life as if from another world , but often most delicate in odour even in the fragments of them we see in our greenhouses .",Java Ceylon,Olfactive,Evoked\_Odorant,76
1,2,001E Donald Mcdonald 1895 Sweet scented flowers and fragrant leaves__2137_distribution_MED.txt,2,"It is not only from the fragile flower-vases these sweet odours flow ; they breathe through leaf and stem , and the whole being of many trees and bushes , from the stately Cum trees of Australia to the sweet Verbena of Chili .",fragile bushes odours leaf being stately Chili,Olfactive,Quality,44
2,5,002E Charles Dickens 1846 Pictures from Italy__52_TRAV.txt,8,"I go back to it , in fancy , as I have done in calm reality a hundred times a-day ; and stand there , looking out , with the sweet scents from the garden rising up about me , in a perfect dream of happiness .",sweet scents,Olfactive,Quality,47
3,7,003E Stephen Bradwell 1636 PHYSICK FOR THE SICKNESSE Commonly called the PLAGUE.txt_distribution.txt,72,"Also , they whose Veynes and Vessels , are full of grosse humors , and corrupt juyces ( the venemous matter being thicke , and therefore unapt to breath through the pores ) their putrefaction is increased by the inward heat , and so driven to malignitie ; and thence onward to a Pestilent qualitie .",being,Olfactive,Smell\_Word,56
4,8,003E Stephen Bradwell 1636 PHYSICK FOR THE SICKNESSE Commonly called the PLAGUE.txt_distribution.txt,86,"So Hippocrates ( in the 2d . of his Epidem . ) saith , that in Cranon a Citie of Thessalie , there arose putrid Vlcers , Pustuls , and Carbuncles , through the hot and moyst constitution of the ayre .",Vlcers Pustuls putrid,Olfactive,Smell\_Source,42
5,10,005E Daniel Featley 1636 Clavis Mystica 70 sermons__159_REL.txt,39,"As Socrates spake of Philosophy , that it was nothing but meditatio mortis , a meditation upon death , we may of Divinity , that it is in a manner nothing else but meditatio mortis Christi , a meditation on Christs death : for the learnedest of all the Apostles would be knowne of no other knowledge that he had , or much esteemed but this , Icdesire ( saith he ) to know nothing but Jesus Christ , and him crucified.dPliny describeth unto us a strange kind of people in Africa , that had no mouthes , but received all their nourishment at their nostrils ( which is nothing else but sweet smells and fragrant odours ) who if they are to take any long journey , provide themselves of great store of flowers , and sweet wood , and aromaticall spices , lest they starve by the way .",sweet fragrant spices smells odours aromaticall,Olfactive,Quality,151
6,13,005E Daniel Featley 1636 Clavis Mystica 70 sermons__159_REL.txt,40,"I will not warrant the narration , because I know it is a case over-ruled in Aristotles philosophy , that smells nourish not ; but the application I can make good out of the Apostle , who calleth the Gospel and the Preachers thereof odorem vitae ad vitam , a savour ofelife unto life .",vitae ofelife smells odorem savour,Olfactive,Smell\_Source,55
7,15,005E Daniel Featley 1636 Clavis Mystica 70 sermons__159_REL.txt,41,"Though the naturall life be not , yet the spirituall is nourished by odours & savours .",odours,Olfactive,Smell\_Word,17
8,16,005E Daniel Featley 1636 Clavis Mystica 70 sermons__159_REL.txt,43,"The sweet root we are alwayes to carry about us , is the root of the flower of Jesse : the savoury wood we are to smell unto , is the wood of the Crosse , that is , the tree of life in the midst of our Paradise .",the wood of the Crosse smell,Olfactive,Smell\_Source,50
9,18,005E Daniel Featley 1636 Clavis Mystica 70 sermons__159_REL.txt,5,"If a Noble man came to visit us , how would we cleanse and perfume our houses ?",perfume,Olfactive,Smell\_Word,18
